gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AvgMonthlyCharge,ChargePerService,TenureGroup_Loyal,TenureGroup_Mature,TenureGroup_New
0,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,False,False,False,False,False,True,False,14.925,7.4625,False,False,True
1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,False,False,True,False,False,False,True,53.98571428571429,11.39,False,True,False
1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,False,False,False,False,False,False,True,36.050000000000004,8.975,False,False,True
1,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,False,False,True,False,False,False,False,40.016304347826086,8.459999999999999,False,True,False
0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,True,False,False,False,False,True,False,50.550000000000004,23.566666666666666,False,False,True
0,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,True,False,False,False,False,True,False,91.16666666666667,14.235714285714286,False,False,True
1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,True,False,False,False,True,False,False,84.75652173913043,11.1375,False,False,False
0,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,False,False,False,False,False,False,True,27.44545454545454,14.875,False,False,True
0,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,True,False,False,False,False,True,False,105.03620689655173,11.644444444444444,False,True,False
1,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,False,False,True,False,False,False,False,55.364285714285714,9.358333333333333,True,False,False
1,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,False,False,False,False,False,False,True,41.96071428571429,7.135714285714286,False,False,False
1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,False,True,False,True,True,False,False,19.223529411764705,6.316666666666666,False,False,False
1,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,True,False,True,False,True,False,False,96.28983050847458,12.54375,True,False,False
1,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,True,False,False,False,False,False,False,100.726,11.522222222222222,True,False,False
1,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,True,False,False,False,False,True,False,103.3096153846154,11.722222222222221,False,True,False
0,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,True,False,False,True,True,False,False,112.78785714285713,10.295454545454545,True,False,False
0,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,False,True,True,False,False,False,True,19.300943396226415,10.325,True,False,False
1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,True,False,False,True,False,False,False,102.53125,11.855555555555556,True,False,False
0,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,False,False,False,False,True,False,False,48.03181818181818,9.200000000000001,False,False,True
0,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,True,False,False,False,False,True,False,84.67727272727274,15.008333333333333,False,False,False
1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,False,False,False,False,False,True,False,19.825,7.93,False,False,True
1,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,False,True,True,False,False,False,False,15.557692307692308,4.95,False,False,True
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,False,True,False,False,False,False,True,10.075,6.716666666666666,False,False,True
0,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,False,False,False,True,True,False,False,59.40847457627118,8.557142857142857,True,False,False
1,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,False,False,False,False,True,False,False,59.406000000000006,7.45,True,False,False
0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,False,False,False,False,False,False,False,49.37419354838709,11.059999999999999,False,True,False
1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,True,False,False,False,False,True,False,98.940625,9.934999999999999,False,True,False
1,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,False,False,False,False,False,True,False,15.1,6.04,False,False,True
1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,False,False,False,True,True,False,False,87.2527397260274,7.520833333333333,True,False,False
0,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,False,False,False,False,False,False,True,60.727777777777774,10.783333333333333,False,False,False
0,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,True,False,False,True,True,False,False,93.98541666666667,10.705555555555556,True,False,False
1,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,True,False,False,False,True,False,False,60.550000000000004,11.9375,False,False,True
0,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,False,False,True,False,False,False,True,66.94464285714285,8.26875,False,True,False
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,False,True,False,False,False,False,False,10.1,6.733333333333333,False,False,True
1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,False,False,False,False,False,False,False,22.625,15.083333333333334,False,False,True
0,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,True,False,False,True,False,False,False,99.33835616438355,11.100000000000001,True,False,False
1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,True,False,False,False,False,True,False,52.81666666666666,17.425,False,False,True
0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,True,False,False,False,True,False,False,75.49574468085106,18.7,False,True,False
1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,True,False,False,False,False,True,False,101.40714285714286,11.816666666666666,False,True,False
0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,True,False,False,False,False,False,False,92.11666666666667,13.978571428571428,False,False,True
1,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,False,False,True,False,False,False,True,43.24545454545454,8.258333333333333,False,False,True
0,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,False,False,False,True,True,False,False,68.62464788732395,7.688888888888889,True,False,False
0,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,False,True,True,False,False,False,True,23.23611111111111,5.1875,False,False,False
0,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,False,False,False,True,True,False,False,75.96015625,8.872222222222222,True,False,False
0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,False,False,False,False,False,True,False,70.10357142857143,8.466666666666667,False,False,False
0,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,True,False,False,False,False,True,False,78.134,16.9,True,False,False
1,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,False,False,False,False,False,False,True,32.333333333333336,12.3125,False,False,True
0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,True,False,False,False,False,True,False,48.050000000000004,20.1625,False,False,True
1,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,False,False,False,True,True,False,False,79.5811320754717,8.86111111111111,True,False,False
0,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,False,False,False,True,True,False,False,60.77285714285715,7.127777777777778,True,False,False
0,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,True,False,False,False,False,True,False,87.24431818181819,15.041666666666666,False,True,False
0,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,True,False,False,False,True,False,False,89.15,14.157142857142857,False,False,False
0,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,False,False,False,False,True,False,False,67.40961538461539,8.6875,False,True,False
0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,True,False,False,False,True,False,False,70.36666666666666,13.441666666666668,False,False,True
0,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,False,False,True,False,True,False,False,73.05491803278689,7.484999999999999,True,False,False
1,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,True,False,False,False,False,True,False,92.23947368421052,13.635714285714286,False,False,False
0,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,True,False,True,False,True,False,False,98.6125,11.072222222222223,True,False,False
1,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,True,False,True,False,False,True,False,105.61716417910448,9.0375,True,False,False
0,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,False,True,False,True,True,False,False,25.55142857142857,4.99,False,True,False
0,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,True,False,False,True,True,False,False,107.58493150684932,13.4375,True,False,False
0,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,True,False,False,False,False,True,False,98.06458333333335,12.5625,False,True,False
1,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,True,False,False,False,False,False,False,89.35573770491803,12.842857142857143,True,False,False
1,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,False,False,False,True,False,False,False,40.57534246575342,7.016666666666667,True,False,False
0,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,False,False,True,False,True,False,False,50.373684210526314,7.771428571428571,False,False,False
0,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,True,False,False,False,False,True,False,85.725,18.880000000000003,False,False,True
0,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,False,False,False,False,False,True,False,61.025,10.757142857142856,False,False,True
1,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,True,False,True,False,False,True,False,76.04895833333333,11.271428571428572,False,True,False
0,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,False,False,False,True,False,False,True,78.0375,11.314285714285715,False,True,False
0,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,False,True,False,True,False,False,False,18.25294117647059,5.0375,True,False,False
1,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,True,False,False,False,False,False,True,80.66818181818182,13.308333333333332,False,False,True
1,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,False,False,False,False,False,False,True,24.525,12.2625,False,False,True
0,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,False,True,True,False,False,True,False,20.578301886792456,4.08,True,False,False
1,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,True,False,False,True,False,False,False,109.21538461538462,9.299999999999999,True,False,False
1,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,False,True,False,True,False,False,False,22.61269841269841,3.4642857142857144,True,False,False
0,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,False,False,False,False,False,False,False,44.35,9.214285714285714,False,False,True
